index,id,create_at,text,user_name,verified,location,followers_count,extended,retweeted,quoted
1.0,1.2686229882004275e+18,Thu Jun 04 19:17:44 +0000 2020,RT @APStudentTrends: Let the Covid-19 Spread be stopped  then conduct the required exams . Exams aren't important than life. Life has a gre… Let the Covid-19 Spread be stopped  then conduct the required exams . Exams aren't important than life. Life has a… https://t.co/PKqI2dUXrN,SingerKhadar,False,Rajahmundry India,0.0,0.0,1.0,0.0
2.0,1.2686285329698365e+18,Thu Jun 04 19:39:46 +0000 2020,RT @JimMFelton: Grant Shapps saying “if you can work from home you should continue to do so” a day after Alok Sharma stood there sweating w… Grant Shapps saying “if you can work from home you should continue to do so” a day after Alok Sharma stood there sw… https://t.co/3c7ulp0FyN,afewgoodfacts,False,Multiverse,3078.0,0.0,1.0,0.0
3.0,1.2686286164321526e+18,Thu Jun 04 19:40:06 +0000 2020,RT @INDIEWASHERE: DURING A PANDEMIC THIS IS LITERALLY BIOLOGICAL WARFARE HE SHOULD BE FIRED AND ARRESTED ASAP DURING A PANDEMIC THIS IS LITERALLY BIOLOGICAL WARFARE HE SHOULD BE FIRED AND ARRESTED ASAP https://t.co/zzBdrQ4bld,liIkiddo,False,ur mom’s,695.0,0.0,1.0,0.0
4.0,1.2686230768134676e+18,Thu Jun 04 19:18:06 +0000 2020,RT @asare_ym: @jaesofamous @Story_Undonee If you are here  might as well share this! Any help will be appreciated! https://t.co/OgVHyAxWMf @jaesofamous @Story_Undonee If you are here  might as well share this! Any help will be appreciated! https://t.co/OgVHyAxWMf,Mel_9194,False,,1424.0,0.0,1.0,0.0
5.0,1.2686226766768497e+18,Thu Jun 04 19:16:30 +0000 2020,We join you in this fight! https://t.co/8AF37Dgayj As we respond to #COVID19 pandemic  we must work to advance #economicjustice for those impacted by the criminal jus… https://t.co/51KfNXkzxC,WildHeartzInc,False,Columbus OH,6.0,0.0,0.0,1.0
6.0,1.2686279506494546e+18,Thu Jun 04 19:37:28 +0000 2020,@Lucy_Worsley 😂😂Go for it. And the Stasi police  can piss off if they try to intervene during these 'stay at home … https://t.co/stttzOlcij,canarynet,False,Seaside town Suffolk,23.0,0.0,0.0,0.0
7.0,1.2686280591350538e+18,Thu Jun 04 19:37:53 +0000 2020,RT @WilliamAdoasi: - Black Lives Matter awakening  - 40 000 dead from Covid   UK Media: https://t.co/WTLGzq0R4g - Black Lives Matter awakening  - 40 000 dead from Covid   UK Media: https://t.co/WTLGzq0R4g,th8nbhd,False,MM,2442.0,0.0,1.0,0.0
10.0,1.2686282066612716e+18,Thu Jun 04 19:38:29 +0000 2020,RT @ShamsCharania: Sources: Additional dates NBA informed on Board of Governors call:  - June 15  players located internationally return to… Sources: Additional dates NBA informed on Board of Governors call:  - June 15  players located internationally retu… https://t.co/J2StZ4oSTV,DarisOnDemand,False,Port St Lucie ,350.0,0.0,1.0,0.0
12.0,1.2686225342173307e+18,Thu Jun 04 19:15:56 +0000 2020,RT @NOLAnews: New Orleans officials do not want to host the Republican National Convention. They are concerned that hosting the large event… New Orleans officials do not want to host the Republican National Convention. They are concerned that hosting the l… https://t.co/C9pqZGrDkd,StephenHandwerk,True,lafayette la,3266.0,0.0,1.0,0.0
13.0,1.2686223206894838e+18,Thu Jun 04 19:15:05 +0000 2020,RT @TheLancet: Today  three of the authors have retracted "Hydroxychloroquine or chloroquine with or without a macrolide for treatment of C… Today  three of the authors have retracted "Hydroxychloroquine or chloroquine with or without a macrolide for treat… https://t.co/feb2UZA0dv,GlennKesslerWP,True,ÜT: 38.9327999-77.1524351,127550.0,0.0,1.0,0.0
14.0,1.268627836992176e+18,Thu Jun 04 19:37:00 +0000 2020,As access to in-person #abortion clinics dwindled during the #COVID19 pandemic  providers have seen increased deman… https://t.co/AorZhr4Xqc,medpagetoday,True,New York NY,69534.0,0.0,0.0,0.0
15.0,1.268622217098621e+18,Thu Jun 04 19:14:41 +0000 2020,RT @iMac_too: Renowned doctor Devi Shetty describes unsung CM Yeddyurappa's herculean efforts in controlling #ChineseVirus in Karnataka &amp; p… Renowned doctor Devi Shetty describes unsung CM Yeddyurappa's herculean efforts in controlling #ChineseVirus in Kar… https://t.co/fy1y9gkOlD,abskesh,False,,289.0,0.0,1.0,0.0
17.0,1.2686222785411318e+18,Thu Jun 04 19:14:55 +0000 2020,RT @heraldscotland: Do you think face coverings should be mandatory in shops  pubic transport and enclosed spaces? https://t.co/jWbyD8eCJg Do you think face coverings should be mandatory in shops  pubic transport and enclosed spaces? https://t.co/jWbyD8eCJg,SpanishDan1,False,Tarragona.,11292.0,0.0,1.0,0.0
18.0,1.2686225149570621e+18,Thu Jun 04 19:15:52 +0000 2020,RT @liamyoung: More people admitted to hospital with Covid-19 in the last 24 hours than at the same point last week. More people admitted to hospital with Covid-19 in the last 24 hours than at the same point last week.,nigel7272,False,Somewhere fuzzy fruity,780.0,0.0,1.0,0.0
23.0,1.2686220694675128e+18,Thu Jun 04 19:14:05 +0000 2020,RT @PrivateEyeNews: Statutory Instruments brought in by government in response to coronavirus include re-introducing changes to adoption an… Statutory Instruments brought in by government in response to coronavirus include re-introducing changes to adoptio… https://t.co/hzQxH0gVHv,cat_in_the_tap,False,Scotland,232.0,0.0,1.0,0.0
24.0,1.2686336036107592e+18,Thu Jun 04 19:59:55 +0000 2020,@ZaleCFC @TheSaItIsHere That was pre corona prices though. Although I do agree with the defense part but it does lo… https://t.co/IiZdBEFgHd,I_VOV_I,False,South East England,29.0,0.0,0.0,0.0
25.0,1.268623215166763e+18,Thu Jun 04 19:18:39 +0000 2020,Free online #COVID health check that protects your privacy while helping #businesses reopen safely  built by the St… https://t.co/QZ9bV4imwN,miriamulu1,False,Palo Alto CA,1159.0,0.0,0.0,0.0
27.0,1.268633536644305e+18,Thu Jun 04 19:59:39 +0000 2020,RT @DiverseAlz: This section is where @nursesKidONE point fits in about safety  levels of safety and how important it is. Care matters and… This section is where @nursesKidONE point fits in about safety  levels of safety and how important it is. Care matt… https://t.co/Jdz5kqyBOx,helenfindlay,False,UK,5476.0,0.0,1.0,0.0
28.0,1.2686230636559565e+18,Thu Jun 04 19:18:02 +0000 2020,RT @PrivateEyeNews: Statutory Instruments brought in by government in response to coronavirus include re-introducing changes to adoption an… Statutory Instruments brought in by government in response to coronavirus include re-introducing changes to adoptio… https://t.co/hzQxH0gVHv,JuliaChidley,False,,703.0,0.0,1.0,0.0
29.0,1.2686220277425725e+18,Thu Jun 04 19:13:55 +0000 2020,countries in southeast asia are performing better in this pandemic,theimmi,False,,4699.0,0.0,0.0,0.0
30.0,1.2686220060076524e+18,Thu Jun 04 19:13:50 +0000 2020,RT @SPB_CapThinking: #WhatWeAreWatching: #Aviation blockade between #US #China  🔎#US threatens to cut #Chinese #passengerflight - #China re… #WhatWeAreWatching: #Aviation blockade between #US #China  🔎#US threatens to cut #Chinese #passengerflight - #China… https://t.co/adMHR0pPh1,SPB_IntlTrade,False,,238.0,0.0,1.0,0.0
33.0,1.2686289058644337e+18,Thu Jun 04 19:41:15 +0000 2020,RT @BurnBanksy: **Important message from this Tory MP ...if u think you have #coronavirus symptoms self isolate and dont visit anywhere pub… **Important message from this Tory MP ...if u think you have #coronavirus symptoms self isolate and dont visit anyw… https://t.co/BiM263annp,ScoPoliticsNews,False,Airdrie Scotland,5446.0,0.0,1.0,0.0
34.0,1.2686220986809876e+18,Thu Jun 04 19:14:12 +0000 2020,RT @ARanganathan72: BS Yeddyurappa says there was nothing wrong in the Devegowda family holding a grand wedding amid the lockdown.  Yogi Ad… BS Yeddyurappa says there was nothing wrong in the Devegowda family holding a grand wedding amid the lockdown.  Yog… https://t.co/x4yyMl1rir,indiancat143,False,India,35.0,0.0,1.0,0.0
35.0,1.2686227871005082e+18,Thu Jun 04 19:16:56 +0000 2020,RT @DrZweliMkhize: As of today  the cumulative number of confirmed #COVID19 is 40 792  the total number of deaths is 848 and the recoveries… As of today  the cumulative number of confirmed #COVID19 is 40 792  the total number of deaths is 848 and the recov… https://t.co/BOTfoxOU2Q,adorable_chezz,False,South Africa,2304.0,0.0,1.0,0.0
37.0,1.26862217779379e+18,Thu Jun 04 19:14:31 +0000 2020,RT @BenParker140: 40 @MSF staff sick in Aden -- many with COVID-19 https://t.co/l4OLJ3rLdX 40 @MSF staff sick in Aden -- many with COVID-19 https://t.co/l4OLJ3rLdX,MatinaStevis,True,In the European Union,68812.0,0.0,1.0,0.0
38.0,1.2686290532606648e+18,Thu Jun 04 19:41:50 +0000 2020,RT @prayingmedic: "Amazon has since the onset of the pandemic been removing books containing coronavirus conspiracy theories"  Three guesse… "Amazon has since the onset of the pandemic been removing books containing coronavirus conspiracy theories"  Three… https://t.co/SJuwP5crAy,lonestartxMary,False,,10555.0,0.0,1.0,0.0
39.0,1.2686223334613115e+18,Thu Jun 04 19:15:08 +0000 2020,RT @eilishupdates: “... People are saying  ‘I don’t care if I get it. If I die  I die.’ What  really? What about your parents... Imagine if… “... People are saying  ‘I don’t care if I get it. If I die  I die.’ What  really? What about your parents... Imagi… https://t.co/4ilJyKqi0I,AGGBBTS,False,,215.0,0.0,1.0,0.0
40.0,1.2686222799712338e+18,Thu Jun 04 19:14:56 +0000 2020,@laurax2289 ummmm maybe because the CDC as of late has been acting like a psycho ex that cant make up its mind....… https://t.co/TmhuFZJD4K,MrFantaastik,False,Redding CA,104.0,0.0,0.0,0.0
42.0,1.2686285545494282e+18,Thu Jun 04 19:39:52 +0000 2020,RT @KellyLiodou: #body #Covid_19 #homelearning #StayAtHome https://t.co/gZ7bFfcmUk #body #Covid_19 #homelearning #StayAtHome https://t.co/gZ7bFfcmUk,nickfuck3,False,,73.0,0.0,1.0,0.0
43.0,1.2686227661791437e+18,Thu Jun 04 19:16:51 +0000 2020,RT @SethMacFarlane: CDC is worried Americans aren't following its advice as the number of U.S. coronavirus cases continues to rise:  https:… CDC is worried Americans aren't following its advice as the number of U.S. coronavirus cases continues to rise:  https://t.co/0YDIjkBLej,Candymiser,False,Columbus OH,60.0,0.0,1.0,0.0
44.0,1.2686281054862336e+18,Thu Jun 04 19:38:04 +0000 2020,RT @truebluesu: It's hard to campaign during a pandemic  but that doesn't mean it's not important.  While we're fighting for our lives  Tru… It's hard to campaign during a pandemic  but that doesn't mean it's not important.  While we're fighting for our li… https://t.co/Qy0bJDHIGv,Tony_Porras2050,False,California USA,13464.0,0.0,1.0,0.0
