word,count
covid,192
pandemic,188
people,148
trump,103
police,88
white,63
new,61
social,61
like,49
home,49
racism,44
black,41
man,41
twitter,37
hard,33
forgot,33
good,33
automatic,32
bad,30
state,29
talking,29
today,28
testing,28
president,28
fact,26
going,26
said,26
actually,25
middle,25
day,25
gift,24
response,24
stay,24
dead,24
wearing,23
virus,23
time,23
come,22
crisis,22
protest,22
nursing,22
tear,22
gas,22
mask,22
risk,21
million,21
world,21
joe,21
global,21
house,20
health,20
shake,20
profoundly,20
evil,20
suffocation,20
spread,20
death,19
upset,19
help,18
extra,18
china,18
vaccine,17
county,17
national,17
week,17
order,17
getting,16
stop,16
left,16
unemployed,16
economy,16
corona,16
tested,16
took,16
sample,16
mail,16
days,16
know,16
wait,15
got,15
right,15
checked,15
passionately,15
speaking,15
beginning,15
money,15
lost,14
life,14
care,14
ago,14
update,14
funds,14
media,13
effective,13
strategy,13
woman,13
little,13
stocks,13
total,13
court,13
executive,13
let,13
deadly,13
work,13
voting,13
government,13
report,12
charge,12
somebody,12
alive,12
need,12
murdering,12
reason,12
bleak,12
accountability,12
crash,12
positive,12
mark,12
dress,12
await,12
silent,11
disgusting,11
billion,11
daily,11
wife,11
big,10
watch,10
hospital,10
country,10
coming,10
bill,10
nation,10
breaking,10
end,10
story,10
rate,10
individual,10
sell,10
municipal,10
toll,10
michigan,9
miss,9
outbreak,9
trying,9
plan,9
kill,9
latest,9
research,9
read,9
thanks,9
news,9
june,9
live,9
article,9
test,9
check,9
case,9
best,9
lock,9
public,8
thank,8
brut,8
brutality,8
private,8
think,8
clear,8
blue,8
instead,8
rep,8
nearly,8
election,8
wow,8
exactly,8
study,8
issue,8
send,8
important,8
year,8
thing,8
travel,8
calling,8
action,8
staff,8
point,8
imagine,8
real,8
guy,7
mayor,7
past,7
fight,7
data,7
support,7
running,7
nationwide,7
sense,7
set,7
focus,7
remember,7
protect,7
leadership,7
failure,7
want,7
governor,6
increasingly,6
package,6
repeatedly,6
mike,6
wealth,6
maybe,6
result,6
jet,6
accept,6
spent,6
heartbreaking,6
believe,6
yes,6
communist,6
stopped,6
ways,6
supreme,6
illegal,6
quickly,6
die,6
safety,6
quarantine,6
knew,6
fear,6
try,6
great,6
gave,6
history,6
amid,6
way,6
