date,tweet_count
2020-01-21,226
2020-01-22,28544
2020-01-23,186484
2020-01-24,660793
2020-01-25,998741
2020-01-26,1356204
2020-01-27,989458
2020-01-28,875575
2020-01-29,1979927
2020-01-30,2358111
2020-01-31,2145627
2020-02-01,940978
2020-02-02,1058196
2020-02-03,1045047
2020-02-04,1168077
2020-02-05,1062592
2020-02-06,1136944
2020-02-07,1032638
2020-02-08,969709
2020-02-09,1000852
2020-02-10,1076804
2020-02-11,1109350
2020-02-12,1052129
2020-02-13,1121210
2020-02-14,1033974
2020-02-15,922881
2020-02-16,938662
2020-02-17,985069
2020-02-18,1080356
2020-02-19,960006
2020-02-20,1043594
2020-02-21,1074860
2020-02-22,946060
2020-02-24,886396
2020-02-25,962576
2020-02-26,1160901
2020-02-27,1163294
2020-02-28,2057139
2020-02-29,3735404
2020-03-01,2822710
2020-03-02,988073
2020-03-03,3172682
2020-03-04,3408802
2020-03-05,1170155
2020-03-06,1194649
2020-03-07,1181207
2020-03-08,1157008
2020-03-09,1136100
2020-03-10,1099566
2020-03-11,1145311
2020-03-12,1073847
2020-03-13,1072414
2020-03-14,1099348
2020-03-15,1086259
2020-03-16,1033256
2020-03-17,1033043
2020-03-18,913254
2020-03-19,1037413
2020-03-20,1057892
2020-03-21,969350
2020-03-22,1079029
2020-03-23,1063875
2020-03-24,1041165
2020-03-25,1087749
2020-03-26,1078114
2020-03-27,1127307
2020-03-28,1101212
2020-03-29,1063169
2020-03-30,1099996
2020-03-31,1100958
2020-04-01,1143303
2020-04-02,1084903
2020-04-03,1059431
2020-04-04,1079866
2020-04-05,1081624
2020-04-06,1064716
2020-04-07,1076892
2020-04-08,1079814
2020-04-09,1056424
2020-04-10,995234
2020-04-11,1047537
2020-04-12,1044238
2020-04-13,1050183
2020-04-14,1039482
2020-04-15,1034852
2020-04-16,1041713
2020-04-17,866492
2020-04-18,985851
2020-04-19,1028945
2020-04-20,1052612
2020-04-21,1051746
2020-04-22,1054486
2020-04-23,1048445
2020-04-24,970988
2020-04-25,1031773
2020-04-26,1010288
2020-04-27,1013394
2020-04-28,977861
2020-04-29,985525
2020-04-30,954066
2020-05-01,961397
2020-05-02,1037929
2020-05-03,1031378
2020-05-04,1029788
2020-05-05,1045514
2020-05-06,1030048
2020-05-07,1036040
2020-05-08,1031498
2020-05-09,1014440
2020-05-10,1009619
2020-05-11,992133
2020-05-12,831354
2020-05-13,1023681
2020-05-14,943221
2020-05-15,958047
2020-05-16,1056176
2020-05-17,1057102
2020-05-18,1076011
2020-05-19,1078101
2020-05-20,1046236
2020-05-21,1067139
2020-05-22,1068894
2020-05-23,1092047
2020-05-24,1058475
2020-05-25,1077988
2020-05-26,1079457
2020-05-27,1050472
2020-05-28,1090814
2020-05-29,1118880
2020-05-30,1154840
2020-05-31,1193052
2020-06-01,1167078
2020-06-02,1106462
2020-06-03,1093385
2020-06-04,1074019
2020-06-05,1226238
2020-06-06,4285295
2020-06-07,4305256
2020-06-08,4284959
2020-06-09,4293092
2020-06-10,4258511
2020-06-11,4259462
2020-06-12,4306620
2020-06-13,4284908
2020-06-14,4271559
2020-06-15,4305015
2020-06-16,4305766
2020-06-17,4292603
2020-06-18,4243259
2020-06-19,4264254
2020-06-20,4204790
2020-06-21,4206002
2020-06-22,4228056
2020-06-23,4285411
2020-06-24,4146703
2020-06-25,4211128
2020-06-26,4140137
2020-06-27,4260407
2020-06-28,4229084
2020-06-29,4283372
2020-06-30,4310435
2020-07-01,4313694
2020-07-02,4249911
2020-07-03,4298400
2020-07-04,4292081
2020-07-05,4232645
2020-07-06,4270199
2020-07-07,4319422
2020-07-08,4307035
2020-07-09,4292554
2020-07-10,4317595
2020-07-11,4283300
2020-07-12,4302132
2020-07-13,4309805
2020-07-14,3845188
2020-07-15,3892165
2020-07-16,3808261
2020-07-17,3865317
2020-07-18,4200446
2020-07-19,4301065
2020-07-20,4297815
2020-07-21,4298797
2020-07-22,4283543
2020-07-23,4260978
2020-07-24,4268408
2020-07-25,4260928
2020-07-26,4246593
2020-07-27,4275926
2020-07-28,4319982
2020-07-29,4302158
2020-07-30,4303388
2020-07-31,4302196
