word,count
covid,29000
people,16483
china,15400
pandemic,13764
new,11312
trump,10940
virus,8862
corona,8187
like,6765
health,6398
home,5767
today,4957
time,4914
outbreak,4878
stay,4705
world,4699
president,4620
social,4542
breaking,4532
day,4360
government,4281
mask,4271
know,4247
news,4240
going,4138
need,4003
said,3977
positive,3685
wear,3401
spread,3388
death,3304
country,3282
think,3179
help,3176
public,3157
tested,3143
state,3111
million,3087
testing,3053
right,3009
hospital,2975
days,2944
work,2884
want,2805
confirmed,2788
case,2724
good,2713
media,2705
year,2611
got,2563
stop,2514
man,2491
care,2487
response,2455
life,2383
way,2293
week,2287
crisis,2278
global,2269
number,2267
white,2254
test,2211
video,2195
medical,2136
house,2080
getting,2019
fight,1996
live,1993
infected,1979
face,1969
great,1965
total,1915
police,1914
working,1840
flu,1834
look,1820
vaccine,1816
quarantine,1779
south,1743
support,1731
city,1726
let,1708
update,1707
safe,1684
black,1680
away,1665
data,1648
told,1648
come,1633
ago,1627
read,1625
old,1614
family,1590
epidemic,1571
united,1567
free,1553
minister,1546
believe,1538
best,1535
far,1514
real,1496
thank,1496
national,1478
watch,1476
thing,1476
bad,1470
end,1462
use,1462
risk,1455
money,1424
report,1421
times,1407
doctor,1379
control,1356
save,1347
saying,1346
protect,1343
middle,1336
big,1330
open,1329
dead,1326
left,1325
trying,1321
sick,1320
rate,1317
better,1317
economy,1308
wearing,1303
die,1297
business,1297
important,1287
remember,1282
travel,1280
tell,1272
yesterday,1271
long,1266
disease,1260
staff,1255
daily,1246
hard,1245
order,1245
job,1237
situation,1234
making,1233
taking,1231
toll,1231
school,1221
month,1217
hope,1215
administration,1212
person,1209
high,1209
emergency,1207
novel,1203
food,1193
amid,1190
bill,1189
spreading,1187
second,1187
seen,1173
lost,1169
found,1162
needs,1160
hit,1152
actually,1147
close,1121
story,1119
plan,1112
latest,1107
coming,1106
march,1097
went,1092
human,1085
post,1082
start,1060
war,1060
love,1053
party,1053
took,1051
team,1047
fact,1047
lot,1044
fake,1040
single,1034
hong,1029
thanks,1026
woman,1025
pay,1020
god,1014
sure,1002
dear,1000
little,991
find,983
morning,969
clear,964
relief,963
governor,963
patient,962
economic,962
press,961
force,951
early,949
york,944
according,943
self,943
racist,937
japan,931
study,929
deadly,914
federal,913
official,912
system,912
yes,910
understand,904
share,900
millions,896
deal,891
local,884
finally,883
anti,879
county,875
community,875
hear,875
instead,872
feel,869
mean,867
fighting,863
follow,862
political,861
group,855
imagine,852
truth,846
despite,846
literally,843
set,837
record,837
worst,836
thought,832
thread,831
twitter,830
place,830
ill,825
soon,822
sent,822
billion,816
point,813
reason,811
looking,810
true,810
night,808
nation,808
came,806
past,805
outside,805
pence,804
fear,803
history,802
continue,788
rally,788
science,786
nearly,774
vote,773
information,772
likely,768
check,763
closed,763
calling,762
ready,759
nursing,756
join,754
population,752
low,751
current,751
cut,750
talking,745
small,744
treatment,743
hoax,741
infection,738
reminder,738
racism,738
kill,734
panic,733
drug,728
ship,728
essential,723
shut,721
prevent,719
june,716
wait,714
contact,713
wash,713
following,708
international,708
lock,708
dangerous,707
dying,705
protest,705
act,700
guy,698
tweet,695
chief,692
change,692
ask,691
wow,688
briefing,688
worse,686
cure,681
campaign,677
problem,675
telling,675
biggest,674
entire,672
given,672
taken,670
hey,670
major,669
listen,668
matter,667
market,664
living,663
wrong,662
article,661
communist,660
canada,658
mike,656
highest,651
happy,650
cruise,650
inside,649
office,646
friend,646
election,646
action,644
able,644
increase,643
ban,642
security,641
hell,641
conference,640
hand,640
cause,639
wave,635
try,632
stupid,632
talk,631
based,627
research,626
law,626
mass,625
especially,624
evidence,623
advice,623
message,621
watching,620
threat,620
russia,619
meeting,617
question,616
thinking,613
lying,613
impact,612
service,612
blame,608
happening,606
lab,604
affected,603
air,599
gone,599
cover,598
donated,596
joe,596
seeing,595
young,595
safety,595
men,594
leave,592
border,592
related,591
line,590
comes,588
forget,587
congress,587
huge,586
trade,585
possible,584
weekend,582
buy,580
university,577
student,576
zero,576
absolutely,575
giving,574
maybe,571
prime,571
normal,571
warning,568
half,568
company,567
trust,566
run,565
non,565
tonight,561
democrat,561
level,560
send,560
nurse,557
currently,552
worth,552
rise,552
idea,552
leadership,552
seriously,551
contain,550
massive,550
tomorrow,548
aid,546
director,545
decided,545
avoid,545
girl,545
department,544
sorry,544
sir,542
longer,539
different,538
poor,537
treat,533
mother,530
leader,530
period,527
kind,526
starting,526
goes,524
heart,521
head,519
moment,518
forced,517
knew,517
power,517
handling,515
running,509
senate,509
unemployment,509
policy,508
son,508
general,505
list,504
hold,502
secretary,502
tried,501
stand,500
interesting,498
large,498
light,495
play,495
conspiracy,495
learn,494
happen,491
bring,491
wonder,489
task,489
agree,489
killing,488
child,487
suspected,487
member,487
received,486
leading,486
sign,483
led,482
reopen,480
immune,479
helping,476
hate,474
issue,473
opening,473
key,471
effective,470
recent,469
isolation,468
mayor,468
curve,468
return,467
facing,466
provide,466
turn,465
worried,465
negative,465
lead,465
guess,463
exposed,463
decision,463
access,463
wife,462
center,459
flight,459
course,459
slow,459
charge,459
probably,457
lack,457
military,456
completely,456
blood,456
eat,455
miss,455
break,454
release,453
eating,453
private,453
future,452
late,452
dad,452
north,451
province,450
healthy,448
saw,448
stock,447
showing,447
central,446
fund,446
alert,443
sense,442
sending,442
gave,442
result,441
sad,441
critical,440
spent,439
rest,439
worked,438
responsible,437
body,437
father,436
prepared,435
street,433
event,432
transmission,432
wish,431
common,430
recovery,430
known,427
dealing,427
pray,426
infectious,425
organization,425
potential,425
count,423
fully,423
piece,422
special,422
fire,421
spike,420
beat,419
industry,418
donate,418
court,416
reality,415
amazing,415
near,415
announce,414
interview,414
expert,414
treating,412
pro,411
music,411
fox,410
wake,410
lie,409
water,409
ministry,408
win,408
source,407
keeping,407
foreign,407
cost,406
fall,406
available,405
insurance,404
short,402
damn,402
supply,401
citizen,401
ahead,401
store,401
demand,400
hour,399
mail,399
quickly,398
car,398
recently,396
mortality,396
mind,396
san,396
refuse,395
exactly,394
straight,394
combat,392
hearing,392
summer,391
crazy,390
age,389
holding,389
excuse,388
concerned,386
allow,386
voting,385
area,384
room,382
visit,381
battle,381
game,380
building,380
bank,380
bed,379
project,378
attention,377
meet,376
financial,376
claim,375
waiting,375
till,375
personal,374
ass,374
plane,372
speak,371
class,371
tax,370
airport,369
red,369
address,369
education,368
works,368
attack,368
term,368
pushing,367
committee,366
prison,366
pass,365
apparently,365
reading,365
ice,365
guidance,364
race,363
town,362
paper,361
strategy,361
word,360
vulnerable,360
phone,360
con,359
ways,359
strong,359
super,359
package,359
west,358
joke,358
feeling,358
republican,358
prepare,357
link,357
gas,357
forward,355
season,354
pretty,353
note,353
tracing,352
budget,350
role,350
explain,349
michigan,348
practice,347
fast,346
fired,346
ensure,346
worry,345
shot,344
cancel,344
beginning,344
bit,344
price,343
church,343
baby,342
active,342
focus,342
moving,342
climate,341
survive,340
husband,340
brother,339
date,339
senator,339
funds,338
streets,337
disaster,336
program,335
stopped,335
higher,334
false,334
princess,334
protective,334
viral,333
remain,333
losing,331
built,330
simple,328
fine,328
statement,328
experience,326
exclusive,326
couple,326
drive,326
lose,326
additional,325
worker,325
diamond,325
midst,324
evil,324
discuss,324
actual,323
learned,323
ordered,323
movie,322
wall,322
complete,322
elderly,322
yeah,321
scientist,321
chance,321
journalist,319
immunity,319
book,318
respond,317
door,317
challenge,317
hot,316
brought,316
failure,316
model,315
wrote,315
create,315
totally,315
locked,315
board,315
surge,315
democratic,315
birthday,315
society,314
raise,313
majority,313
freedom,312
nice,312
turned,310
earth,310
quick,307
epicenter,307
later,306
letter,305
tired,305
union,305
caught,304
speaking,303
tha,303
directly,303
missing,302
funny,301
boy,300
stuff,300
jail,300
push,299
deep,299
fun,299
politics,299
phase,299
effort,298
mark,298
suffering,296
direct,295
cancer,295
learning,295
college,295
reduce,295
grocery,295
propaganda,294
alive,294
notice,292
wild,292
mental,292
rising,292
drop,291
everybody,291
step,291
percent,290
facility,290
account,289
covering,288
recover,288
kept,287
nationwide,286
answer,286
smart,286
nancy,285
loss,285
army,285
brazil,285
justice,284
difficult,284
immediately,283
correct,283
stimulus,283
violence,282
civil,282
plague,282
selling,281
handle,281
acting,281
district,281
multiple,280
discovered,280
consider,279
request,278
opportunity,278
concern,277
expect,276
east,276
won,276
broke,276
flatten,276
washing,275
afraid,274
fever,273
growing,272
cor,271
effect,271
medicine,271
dog,270
blaming,270
professor,269
track,269
refusing,269
example,269
clearly,269
capacity,268
scary,267
respect,267
coverage,267
independent,267
train,266
officer,266
photo,266
senior,266
forcing,266
paying,265
distance,265
voice,265
illness,264
rent,263
touch,262
lied,262
stuck,262
disgusting,261
crash,261
production,261
truly,260
rule,260
busy,260
simply,259
severe,258
reach,258
criminal,258
necessary,258
bitch,258
beach,258
tour,257
confirm,257
poll,257
leaving,256
offer,256
debate,256
picture,256
spoke,256
linked,255
build,255
peak,254
providing,253
intelligence,253
awareness,251
include,251
song,251
contract,251
catch,251
exam,251
growth,250
warn,250
rich,250
liberal,250
easing,249
type,248
incredible,248
standing,248
homeless,248
admitted,247
welcome,247
extended,247
supposed,247
physical,247
begin,246
removed,246
regime,246
virtual,246
series,245
officially,245
realize,244
double,243
sit,243
mad,243
easy,243
mid,242
pneumonia,241
declared,241
shown,241
corruption,240
choice,240
daughter,240
judge,240
met,239
prevention,238
football,238
urgent,238
perfect,238
increasing,237
park,237
fan,237
shop,236
isolate,236
personally,236
main,236
shutdown,236
sitting,236
analysis,235
passenger,234
struggling,234
opinion,234
terrible,234
soap,234
legal,233
posted,232
ignore,232
blue,232
survey,232
spending,232
accept,232
humanity,231
extremely,231
sen,231
destroy,231
highly,230
respiratory,230
powerful,230
interest,230
view,230
extra,230
ground,229
definitely,229
movement,229
migrant,229
lots,228
twice,228
fraud,228
suspended,227
institute,227
sex,227
carrying,227
income,227
trial,227
turns,227
responsibility,226
parliament,226
anyways,226
rep,225
strike,225
shame,225
raising,225
remains,225
lady,225
raised,225
trillion,225
clinical,224
site,224
approach,224
executive,224
average,224
animal,223
basically,223
lower,223
spring,223
tear,223
add,222
enjoy,222
impeachment,222
oil,222
investigation,221
difference,221
saved,221
revealed,221
assistance,221
clean,221
glad,220
holy,220
admit,220
murder,220
scientific,219
surgical,218
illegal,218
nature,218
restaurant,218
angry,217
weird,217
stocks,217
tech,216
remind,216
democracy,216
seeking,215
council,215
contagious,214
unprecedented,214
amidst,214
final,213
digital,213
film,212
contracted,212
block,212
aware,211
ani,211
voter,211
ventilator,211
protection,210
misinformation,210
develop,210
involved,210
attend,210
walk,210
green,210
globally,209
bus,209
planet,209
equipment,209
hello,209
round,209
damage,208
cash,208
receive,208
infect,208
apart,207
employee,207
cold,207
everyday,207
deputy,207
natural,206
gun,206
meat,206
excellent,206
solution,206
headline,205
vice,205
funder,205
bought,204
sold,204
cross,204
certain,204
stage,204
hero,204
afford,204
ongoing,203
supporting,203
review,203
protecting,203
figure,202
technology,202
dow,202
beautiful,202
pop,201
shocking,201
extend,201
space,200
defense,200
las,200
tough,200
scale,199
mandatory,199
proper,199
asymptomatic,199
write,199
don,199
listening,199
concert,199
cough,198
shopping,198
wore,198
insane,197
reduced,197
attempt,197
conversation,197
supreme,196
older,196
host,196
secret,196
hotel,196
golf,196
limit,195
debt,195
depression,195
possibly,194
primary,194
speech,194
energy,194
map,193
carry,193
earthquake,193
added,193
speed,192
guardian,192
management,192
wit,192
delivery,192
bar,191
suggest,191
basic,191
celebrate,191
saving,191
relationship,190
condition,190
southern,190
star,190
defeat,190
german,190
labour,190
unfortunately,190
uncle,190
returned,189
crime,189
vital,189
decide,189
peace,189
hair,189
solidarity,189
reporter,189
mistake,189
parenthood,189
land,188
credit,188
page,188
thousand,188
reportedly,188
foundation,188
toilet,188
broken,187
ability,186
episode,186
minute,186
offering,186
chairman,186
appreciate,185
sports,185
tory,185
devastating,184
considering,184
announcement,184
spill,184
wide,184
gotten,184
mild,183
region,183
danger,183
shanghai,183
similar,183
written,183
sadly,183
honestly,183
spend,183
narrative,182
version,182
deliver,182
position,182
duty,182
sell,181
heartbreaking,181
inform,181
deserve,181
regular,181
reaction,181
club,181
socialism,181
beer,180
isolated,180
greatly,180
trip,180
form,180
apple,180
maintain,180
urge,179
road,179
shortage,179
fed,179
choose,179
development,179
unable,179
ended,179
sector,178
gathering,178
rapidly,177
flying,177
chain,177
comment,177
honest,177
network,177
easily,177
feed,177
incompetence,177
ease,177
chi,176
premier,176
cool,176
mobile,176
plasma,176
turkey,176
causing,176
strongly,176
effects,176
demanding,176
arrest,176
screening,175
sister,175
entering,175
informed,175
allegedly,175
