date,index,topic_model
2020-01-21,0,0.204*"china" + 0.187*"virus" + 0.161*"deadly" + 0.093*"case" + 0.058*"new" + 0.022*"situation" + 0.022*"summary" + 0.022*"novel" + 0.002*"beware" + 0.002*"landed"
2020-01-21,1,0.092*"china" + 0.091*"case" + 0.054*"soda" + 0.054*"yeah" + 0.054*"said" + 0.054*"morning" + 0.054*"traveler" + 0.034*"virus" + 0.028*"confirmed" + 0.028*"posted"
2020-01-21,2,0.093*"case" + 0.064*"control" + 0.064*"disease" + 0.062*"confirmed" + 0.058*"flu" + 0.051*"newly" + 0.046*"new" + 0.026*"healthy" + 0.026*"spread" + 0.023*"state"
2020-01-21,3,0.067*"guess" + 0.067*"find" + 0.067*"land" + 0.067*"quick" + 0.006*"case" + 0.006*"confirmed" + 0.006*"new" + 0.006*"china" + 0.006*"announce" + 0.006*"breaking"
2020-01-21,4,0.168*"case" + 0.168*"announce" + 0.111*"breaking" + 0.085*"afternoon" + 0.058*"center" + 0.058*"expect" + 0.058*"emergency" + 0.030*"known" + 0.030*"health" + 0.030*"people"
2020-01-21,5,0.088*"federal" + 0.088*"case" + 0.045*"screening" + 0.045*"program" + 0.045*"education" + 0.045*"campaign" + 0.045*"vaccination" + 0.045*"god" + 0.045*"deadly" + 0.045*"victim"
2020-01-21,6,0.085*"new" + 0.043*"confirmed" + 0.043*"case" + 0.043*"initially" + 0.043*"administration" + 0.043*"trump" + 0.043*"testimony" + 0.043*"noted" + 0.043*"embargo" + 0.043*"land"
2020-01-21,7,0.136*"case" + 0.083*"confirmed" + 0.079*"news" + 0.075*"breaking" + 0.072*"state" + 0.053*"federal" + 0.053*"confirming" + 0.053*"united" + 0.027*"school" + 0.027*"long"
2020-01-21,8,0.008*"case" + 0.008*"confirmed" + 0.008*"new" + 0.008*"china" + 0.008*"breaking" + 0.008*"announce" + 0.008*"confirming" + 0.008*"deadly" + 0.008*"virus" + 0.008*"afternoon"
2020-01-21,9,0.096*"new" + 0.096*"person" + 0.096*"infection" + 0.096*"recently" + 0.096*"human" + 0.065*"vaccine" + 0.049*"traveled" + 0.033*"useless" + 0.033*"works" + 0.033*"way"
2020-01-22,0,0.044*"city" + 0.044*"high" + 0.044*"flu" + 0.044*"york" + 0.044*"latest" + 0.044*"like" + 0.044*"illness" + 0.044*"new" + 0.044*"outbreak" + 0.044*"lung"
2020-01-22,1,0.059*"virus" + 0.059*"comes" + 0.059*"killer" + 0.059*"contagious" + 0.059*"vaccine" + 0.059*"cancer" + 0.059*"man" + 0.059*"state" + 0.003*"case" + 0.003*"breaking"
2020-01-22,2,0.059*"threatening" + 0.059*"harmful" + 0.059*"away" + 0.059*"vaccine" + 0.059*"study" + 0.059*"schedule" + 0.059*"word" + 0.031*"cooking" + 0.031*"coo" + 0.003*"case"
2020-01-22,3,0.119*"breaking" + 0.086*"case" + 0.085*"announce" + 0.085*"afternoon" + 0.035*"bill" + 0.035*"murphy" + 0.035*"news" + 0.035*"teens" + 0.035*"anti" + 0.035*"misinformation"
2020-01-22,4,0.077*"case" + 0.058*"deadly" + 0.050*"state" + 0.047*"matter" + 0.047*"political" + 0.047*"small" + 0.047*"corruption" + 0.047*"fit" + 0.047*"indue" + 0.047*"today"
2020-01-22,5,0.078*"virus" + 0.070*"new" + 0.067*"case" + 0.061*"china" + 0.047*"united" + 0.039*"spreading" + 0.032*"outbreak" + 0.032*"health" + 0.032*"market" + 0.032*"city"
2020-01-22,6,0.081*"new" + 0.066*"human" + 0.061*"infection" + 0.061*"person" + 0.061*"recently" + 0.055*"confirmed" + 0.053*"case" + 0.051*"breaking" + 0.048*"state" + 0.046*"news"
2020-01-22,7,0.081*"health" + 0.071*"remember" + 0.071*"good" + 0.071*"cut" + 0.071*"ford" + 0.071*"public" + 0.071*"billion" + 0.071*"portion" + 0.036*"infectious" + 0.028*"china"
2020-01-22,8,0.218*"case" + 0.149*"confirmed" + 0.056*"state" + 0.056*"patient" + 0.050*"man" + 0.046*"observation" + 0.037*"county" + 0.033*"disease" + 0.028*"announce" + 0.028*"afternoon"
2020-01-22,9,0.125*"china" + 0.056*"quarantine" + 0.056*"protect" + 0.056*"sense" + 0.056*"common" + 0.056*"entering" + 0.056*"stop" + 0.029*"single" + 0.029*"probe" + 0.029*"total"
2020-01-23,0,0.072*"like" + 0.025*"prevent" + 0.023*"read" + 0.023*"working" + 0.023*"range" + 0.021*"care" + 0.021*"rapidly" + 0.019*"interim" + 0.019*"guidance" + 0.017*"disability"
2020-01-23,1,0.034*"wear" + 0.033*"epidemic" + 0.028*"data" + 0.024*"deadly" + 0.022*"open" + 0.020*"thing" + 0.018*"responsible" + 0.017*"control" + 0.017*"insomnia" + 0.017*"envoy"
2020-01-23,2,0.113*"outbreak" + 0.102*"people" + 0.067*"china" + 0.039*"said" + 0.024*"city" + 0.018*"tested" + 0.017*"health" + 0.014*"political" + 0.014*"wild" + 0.013*"limit"
2020-01-23,3,0.063*"health" + 0.059*"novel" + 0.054*"case" + 0.049*"emergency" + 0.047*"found" + 0.044*"arrival" + 0.042*"suspected" + 0.039*"department" + 0.039*"following" + 0.038*"host"
2020-01-23,4,0.075*"virus" + 0.072*"new" + 0.047*"epidemic" + 0.043*"bats" + 0.038*"china" + 0.035*"news" + 0.026*"good" + 0.019*"infection" + 0.017*"led" + 0.017*"president"
2020-01-23,5,0.045*"infected" + 0.045*"city" + 0.031*"hospital" + 0.031*"flu" + 0.031*"cause" + 0.030*"according" + 0.026*"seeing" + 0.026*"flooded" + 0.026*"lined" + 0.018*"public"
2020-01-23,6,0.064*"epidemic" + 0.040*"country" + 0.036*"media" + 0.033*"pneumonia" + 0.032*"spread" + 0.029*"soon" + 0.028*"censorship" + 0.026*"unknown" + 0.025*"flight" + 0.022*"amid"
